Epoch [1/150], Train Loss: 1.0924, Val Loss: 0.8333, Val Accuracy: 0.7586, Mean IOU: 0.6698, Precision: 0.8100, Recall: 0.7586, F1 Score: 0.7475
Epoch [2/150], Train Loss: 0.7893, Val Loss: 0.7706, Val Accuracy: 0.7750, Mean IOU: 0.6958, Precision: 0.8387, Recall: 0.7750, F1 Score: 0.7714
Epoch [3/150], Train Loss: 0.6797, Val Loss: 0.7092, Val Accuracy: 0.7911, Mean IOU: 0.7134, Precision: 0.8490, Recall: 0.7911, F1 Score: 0.7882
Epoch [4/150], Train Loss: 0.6151, Val Loss: 0.6213, Val Accuracy: 0.8198, Mean IOU: 0.7426, Precision: 0.8559, Recall: 0.8198, F1 Score: 0.8127
Epoch [5/150], Train Loss: 0.5628, Val Loss: 0.5829, Val Accuracy: 0.8330, Mean IOU: 0.7567, Precision: 0.8629, Recall: 0.8330, F1 Score: 0.8234
Epoch [6/150], Train Loss: 0.5244, Val Loss: 0.5713, Val Accuracy: 0.8369, Mean IOU: 0.7626, Precision: 0.8656, Recall: 0.8369, F1 Score: 0.8295
Epoch [7/150], Train Loss: 0.4920, Val Loss: 0.5673, Val Accuracy: 0.8415, Mean IOU: 0.7674, Precision: 0.8687, Recall: 0.8415, F1 Score: 0.8325
Epoch [8/150], Train Loss: 0.4634, Val Loss: 0.5448, Val Accuracy: 0.8461, Mean IOU: 0.7718, Precision: 0.8718, Recall: 0.8461, F1 Score: 0.8371
Epoch [9/150], Train Loss: 0.4378, Val Loss: 0.5715, Val Accuracy: 0.8431, Mean IOU: 0.7688, Precision: 0.8710, Recall: 0.8431, F1 Score: 0.8344
Epoch [10/150], Train Loss: 0.4121, Val Loss: 0.5936, Val Accuracy: 0.8343, Mean IOU: 0.7633, Precision: 0.8757, Recall: 0.8343, F1 Score: 0.8328
Epoch [11/150], Train Loss: 0.3915, Val Loss: 0.5526, Val Accuracy: 0.8490, Mean IOU: 0.7791, Precision: 0.8786, Recall: 0.8490, F1 Score: 0.8437
Epoch [12/150], Train Loss: 0.3696, Val Loss: 0.5641, Val Accuracy: 0.8519, Mean IOU: 0.7819, Precision: 0.8766, Recall: 0.8519, F1 Score: 0.8455
Epoch [13/150], Train Loss: 0.3527, Val Loss: 0.5769, Val Accuracy: 0.8513, Mean IOU: 0.7799, Precision: 0.8770, Recall: 0.8513, F1 Score: 0.8442
Epoch [14/150], Train Loss: 0.3304, Val Loss: 0.5710, Val Accuracy: 0.8554, Mean IOU: 0.7848, Precision: 0.8777, Recall: 0.8554, F1 Score: 0.8483
Epoch [15/150], Train Loss: 0.3127, Val Loss: 0.5746, Val Accuracy: 0.8501, Mean IOU: 0.7826, Precision: 0.8799, Recall: 0.8501, F1 Score: 0.8471
Epoch [16/150], Train Loss: 0.2984, Val Loss: 0.5966, Val Accuracy: 0.8558, Mean IOU: 0.7850, Precision: 0.8770, Recall: 0.8558, F1 Score: 0.8481
